Strategy,CAGR,MDD,CVaR_5,Sharpe,Information_Ratio
Regime-aware,0.2184573191113799,-0.33839554103001035,-0.027491428379365884,1.215637141331454,-0.1667268339847621
Equal-weight,0.22653295320531863,-0.545857575797917,-0.040372279934721436,0.9623985506247582,
VNIndex_proxy,0.22653295320531863,-0.545857575797917,-0.040372279934721436,0.9623985506247582,
Random,0.22318014455863655,-0.600542436011212,-0.04221831129873325,0.8926123236871356,0.02692680951771825
