Portfolio,Return_mean,Volatility,Sharpe,Max_Drawdown
Risk-based,0.0006843714795036004,0.010886134216257577,0.06288281818347957,-0.5096119620140259
Equal-weight,0.0006377424361465823,0.01000338510865694,0.06376936712978085,-0.5125339824304579
