year,regime,CAGR,MDD,CVaR_5,Sharpe
2021,LOW,0.40713440802523104,-0.15409880546334506,-0.04147458383874332,1.4893459775529454
2022,LOW,-0.5201033383832974,-0.6337582294673499,-0.06014167196719778,-1.7667037190848027
2023,LOW,0.4603526846655137,-0.23159355983529736,-0.03820742990898029,1.6198298054510045
2024,HIGH,0.09731277095076019,-0.1269371280980851,-0.025303005577607066,0.636761934889956
