symbol,AAA,AAM,AAT,ABR,ABS,ABT,ACB,ACC,ACG,ACL,ADG,ADP,ADS,AGG,ANV,APH,ASG,ASM,ASP,AST,BAF,BCE,BCG,BCM,BFC,BHN,BIC,BID,BKG,BMC,BMI,BMP,BRC,BSR,BTP,BTT,BVH,BWE,C32,C47,CCI,CCL,CDC,CHP,CIG,CII,CKG,CLC,CLL,CLW,CMG,CMV,CMX,CNG,COM,CRC,CRE,CSM,CSV,CTD,CTF,CTG,CTI,CTR,CVT,D2D,DAH,DAT,DBC,DBD,DBT,DC4,DCL,DCM,DGC,DGW,DHA,DHC,DHG,DHM,DIG,DLG,DMC,DPG,DPM,DPR,DQC,DRC,DRH,DRL,DSN,DTA,DTL,DTT,DVP,DXG,DXS,DXV,EIB,ELC,EVE,EVF,EVG,FCM,FCN,FDC,FIR,FIT,FMC,FPT,FRT,GAS,GDT,GEE,GEG,GEX,GIL,GMC,GMD,GMH,GSP,GTA,GVR,HAG,HAH,HAP,HAR,HAS,HAX,HCD,HDB,HDC,HDG,HHP,HHS,HHV,HID,HII,HMC,HNA,HNG,HPG,HPX,HQC,HRC,HSG,HSL,HT1,HTG,HTI,HTL,HTN,HTV,HU1,HUB,HVH,HVN,HVX,ICT,IDI,IJC,ILB,IMP,ITC,ITD,JVC,KBC,KDC,KDH,KHG,KHP,KMR,KOS,KPF,KSB,L10,LAF,LBM,LCG,LDG,LEC,LGC,LGL,LHG,LIX,LM8,LPB,LSS,MBB,MCM,MCP,MDG,MHC,MIG,MSB,MSH,MSN,MWG,NAB,NAF,NAV,NBB,NCT,NHA,NHH,NHT,NKG,NLG,NNC,NO1,NSC,NT2,NTL,NVL,NVT,OCB,OGC,OPC,PAC,PAN,PC1,PDN,PDR,PDV,PET,PGC,PGD,PGI,PGV,PHC,PHR,PIT,PJT,PLP,PLX,PMG,PNC,PNJ,POW,PPC,PSH,PTB,PTC,PTL,PVD,PVP,PVT,QCG,QNP,RAL,RDP,REE,RYG,S4A,SAB,SAM,SAV,SBA,SBG,SBT,SBV,SC5,SCR,SCS,SFC,SFG,SFI,SGN,SGR,SGT,SHA,SHB,SHI,SHP,SIP,SJD,SJS,SKG,SMA,SMB,SMC,SPM,SRC,SRF,SSB,SSC,ST8,STB,STG,STK,SVC,SVD,SVI,SVT,SZC,SZL,TBC,TCB,TCD,TCH,TCL,TCM,TCO,TCR,TCT,TDC,TDG,TDH,TDM,TDP,TDW,TEG,THG,TIP,TIX,TLD,TLG,TLH,TMP,TMS,TMT,TN1,TNC,TNH,TNI,TNT,TPB,TPC,TRA,TRC,TSC,TTA,TTE,TTF,TV2,TVT,TYA,UIC,VAF,VCA,VCB,VCF,VCG,VDP,VFG,VGC,VHC,VHM,VIB,VIC,VID,VIP,VJC,VMD,VNE,VNG,VNL,VNM,VNS,VOS,VPB,VPD,VPG,VPH,VPI,VPL,VPS,VRC,VRE,VSC,VSH,VSI,VTB,VTO,VTP,YBM,YEG
AAA,1.0,0.23248318794022935,0.380377837724785,-0.01924432178199661,0.24510320061993315,0.17795132437310182,0.4246991170549732,0.39532670584179463,0.21119815875068487,0.27006315744218107,0.3531684311654301,0.08670475539024498,0.377840122429405,0.41162492734642897,0.5276372441141841,0.47287533203496357,0.22061813411433998,0.5984485912755975,0.30240661989878714,0.31300294299202036,0.12550116220652296,0.5497683817629402,0.6253320303304999,0.3936485625135769,0.6341880138140079,0.3877205360605076,0.3403025900260066,0.2833120192286591,0.5472855101057843,0.5149925015545128,0.5218709914935418,0.25337388743401895,0.35509790532339774,0.5408178640165068,0.46606390470325626,-0.03255130812978244,0.4650248105206753,0.407703066232246,0.445068349238411,0.40775491128998076,0.14847557353972238,0.6271466864143518,0.1949205365130024,0.37693661461910716,0.32966253422234704,0.5329506553233267,0.3489386304913934,0.40124512921280964,0.20640154153199552,0.1829021280913424,0.4017437696586774,-0.06239763212250982,0.3841136340465694,0.3810586172206757,0.14151510305654855,0.3578094379230587,0.4653241426303455,0.29251823718814146,0.4700966162404511,0.5864689514611628,-0.11368946454127324,0.35189159497799033,0.5032597691650816,0.45397519554600874,0.19294778644908936,0.5740111910167542,0.4105235515189228,-0.009126019836615781,0.5490061249922894,0.25585178135211156,0.4677819146188465,0.19983230905884897,0.18658085047837447,0.5904639801606777,0.33595490243446624,0.4385343318711445,0.49633628745040725,0.5138269490089955,0.3443844743433217,0.19241594484468594,0.5816457442143167,0.5958969858826074,0.4180174574843573,0.4986097412924101,0.508835438584135,0.47011813756920084,0.46053916993027283,0.549340087960953,0.5617679569962191,0.19832872476659208,0.47273446935366303,0.472622263205889,0.06322374095039464,0.06856547756663957,0.45667007933540765,0.440737646557615,0.4240195940803938,0.21362943575407692,0.14227364213031585,0.553143158002455,0.574108556706302,0.46909892287722293,0.5382919089131676,0.49242773022050296,0.629193514989971,0.14261970677652366,0.026286345139891358,0.43215698389703566,0.5473916854417529,0.40787203606022343,0.4102405827859895,0.306586965341753,0.5398815188782629,0.1309412383579885,0.5185887327502771,0.4589253995922291,0.4959835396052908,0.309891629700441,0.5005676261305866,0.2786974852010781,0.43101537983948557,0.3930538814257084,0.6349833639370983,0.44525176494908175,0.42783294547217277,0.3946807714968613,0.5878537205873295,0.3048656847645948,0.42710954942131674,0.4490451337715417,0.40380275647527375,0.5662792155017937,0.5759938838163815,0.3626120011887104,0.6175928733846986,0.4612753739490498,0.5345334018252691,0.5690911239250507,0.3818544046762116,0.2085577615451265,0.3000225360830067,0.43992713529687716,0.15315370648032298,0.6017822965667463,0.008910775477818862,0.5232054013279264,0.3275981959445729,0.6419449900440027,0.31123137974018084,0.3750051813970552,0.19368928485163922,0.541240372714099,0.2626064200331281,0.1259998146378066,0.3539142368542004,0.5845473325992138,0.37042351881290514,0.3046201856995206,0.36708268882770245,0.31452832074707926,0.5903822538360343,0.40999776238821073,0.48646921592386316,0.5412853766461216,0.32554174754074505,0.5829859139870922,0.5350318083279215,0.19824902177237877,0.4068496555761347,0.43631132457933314,0.21529498049849338,0.43804956610161994,-0.0636260587147744,0.3172526673741562,0.6789356045765275,0.060260402700455934,0.2799513678926154,0.14344813170755627,0.6716946311120426,0.557592788814131,0.16320081705664696,0.04473121725980731,0.594784917687723,0.5673036276691731,0.4133673896595362,0.20653418409796814,0.22130594525008462,0.682370209409267,0.37945503572671485,0.3470479291323457,0.17079227514257153,0.11734903096549788,0.3610601955844583,0.5575615809721648,0.3576228792684429,0.4917287209843618,0.22791257113267785,0.38560773145219335,0.2094205311449247,0.17208472333717198,-0.01912804935283155,0.47933383906495325,0.3767256652171095,0.6364522145782301,0.3512070583069063,0.2526026226101204,0.6033140975544175,0.4688691419147461,0.15290496709913814,0.05731423038195167,0.1497258658090552,0.6047428383786061,0.5773538508357499,0.2040149612220951,0.42283645776264445,0.15610445867486591,0.4690979455155802,0.03847997121704397,0.4175582369051168,0.5449210026823044,0.5802531113660494,0.08085896472052498,0.33104649890975246,0.13354453040195882,0.6088505584081856,0.35159335726484164,0.34442003180306524,0.1622024750884883,0.5144237237464467,0.5258303926283316,0.5759360687299876,0.29273949872383415,0.3032914424555719,0.6786493503888508,0.48610969941579185,0.33742120442551515,0.18574290929923531,0.20810013719208775,0.6392981606721774,0.5671450410730461,0.40957537486804757,0.5032106595924495,0.2770227093415758,0.2673458937527136,0.5324075720487654,0.30604479069562796,0.5125192006684915,0.35270576836557527,0.018648515118258494,0.3041101972662482,0.2267118817043359,0.3617638454753004,-0.0692466142203846,0.07870948648052332,0.4043793975431771,0.4095117685314956,0.4732930683087376,0.34948934054087333,-0.057945560983695125,0.5740533382327299,0.28397539877736866,0.11805667542393365,0.6611897986275456,0.2563670477664487,0.2723702919506442,0.4824535540094567,0.3484166692485701,0.41071084316071027,0.41134360856766256,0.17691157575193683,0.4495544233196308,0.3390763577343422,0.2456353993301992,0.21638888426741323,0.217031305924173,0.44162841634389643,0.4102279920767929,0.6361812864166898,0.1621869242838762,0.22587651065228567,0.3780734959246879,0.2502885222536713,0.15202570481556854,0.1818473998605223,0.1074713867286004,0.1474101491519257,0.35401442172241565,0.3110302412968239,0.052282275777528475,0.4768998488055004,-0.12184371881531966,0.3442017343801355,0.1578729880577909,0.007996829516881281,0.5524579636370417,0.5873249516923778,0.21359229141636019,0.4349028622022168,0.5602626690485999,0.4457204472824372,0.4634541903681733,0.39310332164266953,0.03130034226267416,0.262325323840356,0.4021807126638683,0.546989727875667,0.36935912949394945,0.4137723959783854,0.3898387895712809,0.051440578364887024,0.1628723113780751,0.16324013184631045,0.3708441832215673,0.6143710636012093,0.04102602647991385,0.32764711226994764,0.3720352784589324,0.5995189983502309,0.2553212232749957,0.2444911972267219,0.37191719127636996,0.27036223305746176,0.22271829462394518,0.3168162290925134,0.30403006718953635,0.3277373565166922,0.39666064456384487,0.2837942685313965,0.27765269242603263,0.2403345222196487,0.4422351101878143,0.30898087552661907,0.07975610246451983,0.6099605175779456,0.6069858812615705,0.1924571683994706,0.36091521017026174,0.4261898310917174,0.21592747351430622,0.34534169967801875,0.35761500873736585,0.05267245177053982,0.47316520661664374,0.23507480871297898,0.0763980231223787,0.5378239247413811,0.3814709137099502,0.3148849862559568,0.3870461587832644,0.14533202942234297,0.030123406345794863,0.47741560294701557,0.28498308743109696,0.2904117075938323,0.5103525832413226,0.35861195761004916,0.23798966300852553,0.30265530724393835,0.19046055562982225,0.45935469935165524,0.3657993266154215,0.35682265624283543,0.3239854837327434,0.5750632136757865,0.15022165728360545,-0.06279779928303586,0.3141712930154812,0.44476240582690574,0.38770728944635663,0.27333575679767075,0.3015402505251448,0.21803870131469272,0.10710572851966571,0.6412760065328195,0.35862653923952825,0.2900028740587537,0.30200100315872436
AAM,0.23248318794022935,1.0,0.09259707762136928,-0.07315847947004683,0.14375274405254637,0.15845048369406942,0.13343209845119003,0.053218833943039036,0.10049888447312984,0.44598253974107654,0.24361199989169016,-0.016731687340862375,0.21647494456456276,0.09489271058996596,0.19479924056971973,0.16508043716500614,0.05936761163434985,0.20169428291381955,0.20222037931742348,0.1898827427271427,-0.08691426936233417,0.14590106190992286,0.3263106237700543,0.1771827380226541,0.18666351926344785,0.0920517649608611,0.15353640466854543,0.28627193470418494,0.2670229837551587,0.13646404509742788,0.2771619051972923,0.024462220598479134,0.2952330570035901,0.0047859142085130086,0.12206466700135678,-0.10437845249436456,0.1985668232475164,0.19533530773889146,0.24953231680478263,0.2369800618349047,0.09695476534908032,0.2236732521038615,0.18021489594408807,-0.06268825587090608,0.04475630040473186,0.182018793552222,0.2812899392454347,-0.031025483217853107,0.05566864223529804,0.23897368278977923,0.1561048261046772,-0.06771240266019896,0.39136165727758815,0.0875325238856394,0.09686170802302467,0.20248959622715768,0.1476364816999883,0.10843476737266158,0.15473283344759314,0.07414140083735715,0.03846374011016964,0.17327066118471288,0.17090138869177054,0.29572466146370735,0.18480437037323696,0.2318296549774728,0.08384295759880216,0.07767848835217013,0.22399357857782287,0.1313077208340897,0.1081172957428806,0.030195172703428277,0.08033470026633834,0.19051573048624462,0.23654798209825637,0.149567849612567,0.2637603074242507,0.184103825605053,0.10572090340044814,0.10649170857499847,0.23257768555925584,0.13040541194668212,0.10548867225578039,0.26746820350784406,0.255347713012776,0.1493662320919148,0.04500924223301732,0.25008450029286367,0.1816206896629421,0.18745062048590055,0.3367746364850629,0.12784029802773103,0.12632540488847083,0.18950750562605734,0.10907732120186532,0.32282483221909364,0.1637692161617299,0.07726398429801468,0.013164221940811845,0.2684293408979049,0.23579782826861306,0.17939618246390618,0.10039275045447613,0.2380419966624739,0.3232779454272694,0.2622659450731406,0.07065425625956438,0.144278435356107,0.3315232126197315,0.22604242032400054,0.08835036431152732,0.12476987679450435,0.14433740061176492,0.07516936242672652,0.134226714106903,0.3634585604388432,0.2209962238147347,0.1340692028893675,0.25468483171462253,0.22423269235692017,0.15756537625066755,0.026377834422043868,0.19020154077538073,0.24384469789539057,0.23388787557740215,0.16745182227595765,0.1879747387152021,0.08369969182370267,0.24441627871783858,0.07656348204148976,0.17831669353823426,0.257930598674301,0.2592225390084836,0.12451845005781813,0.21207958609129382,0.275173300718403,0.2321527010757877,0.17795992778730685,0.15133832717906506,0.16015296100974413,0.20180431877827568,0.19986134329441163,-0.007780306572982294,0.17843534919909904,-0.09071255078556319,0.17583123438085557,0.12684252643286018,0.3492901869027597,0.13821001950892484,0.1519289733112072,0.23580452493788354,0.22058467508299845,0.1768175848787953,0.2034907516277772,0.4109343100163028,0.18039321574874237,0.10992428327963683,0.15153749979510872,0.052458857895573634,0.4624592454559006,0.20217033099911527,0.1575092507793527,0.07008846118013322,0.2165205078945009,0.1020479079469588,0.2568138068031273,0.18943683015832954,0.061068521499801694,0.22841018718467668,0.291766109662236,0.2712913607778714,0.11271384488822167,-0.0757980656180959,0.1788190277754356,0.314640789891703,0.04145111870713072,-0.0350910857735404,0.13636800515294573,0.26155216554850785,0.29390824073428795,0.015772818711269572,-0.13010098855449087,0.2556955339397441,0.25019613784636624,0.19407259895257734,0.15004923957997973,0.06927873127541537,0.18648620062863472,0.14731376811288774,0.06072352774727705,0.0779752428327152,-0.022069034557149394,0.1117699539291853,0.17865427365990907,0.25869847884380964,0.22328132647838908,0.032785784720836965,0.1608362595823162,0.0906044127003172,0.08727849015142518,0.18286824636905724,0.02635274220047611,0.07921166540586161,0.1540057603309868,0.14365261784896446,0.35072565134343536,0.19735219318159625,0.21019539244106686,0.06664611896884928,-0.05360714610619954,0.3836024957774186,0.13827122908294837,0.20764282966249273,0.09637689882666764,0.34178274985374746,0.22049762747059665,0.28425412380454135,-0.014485241827459526,0.08072253610137299,0.2651136808792189,0.32922096036912074,0.04351220419302164,0.14283224694620264,0.041067802712889505,0.1791359946566244,0.06376726173907071,0.13003236071685473,0.17226187238723442,0.20371158737570128,0.1265700322304864,0.2117902003454345,0.3365507574065854,0.15043311611805152,0.282093336038233,0.18583195848502063,0.013863347377092324,0.030632818615592087,0.12910653722711143,0.14963032613981211,0.1396115481122622,-0.021289012031086015,0.1419953276115328,0.2989467631039658,0.27331566469215735,0.21869195124440224,0.14398304604351642,0.18073773137119603,0.12826569153377212,-0.08438692537545911,0.09130243064188891,0.35510803649471046,0.003444782622034816,-0.00963089244299501,0.2991478326321716,0.15449576885088698,0.08391075121765637,0.08463494010521318,0.04517417026529877,0.014156539785863764,0.23510996481019902,0.1897253851004676,0.036852060564259013,0.3563700037957034,0.16135689723464874,0.05726668181411231,0.12781274047339802,0.2356080043988162,0.1609737190829367,0.027488420850180505,0.027646257398127067,0.1552619277980381,0.1440848553463062,0.022882405171098717,-0.08016460938564944,0.017996542613643775,0.1300346932892609,0.22782674033609812,0.23482332071727147,0.29621179315002905,0.24841399614860105,0.14504261950194094,0.04423568030257014,0.009553060297781874,0.3098933426966868,0.011374492735469695,-0.03355113812693738,0.08362464095932166,0.21807118358244387,0.20380812165678336,0.24146239753821555,-0.10822027583739943,0.28320931349368195,0.15124659865650655,0.029442102607114048,0.1700256718262953,0.21772105725757984,0.11694254569838669,0.23215030091460698,0.21723208731480406,0.19780587802598978,0.23583556767773842,0.15729681717500954,-0.009987777922612042,0.14250233597155143,0.2323877678705189,0.1560094957298852,0.1320612838211147,0.22428998106953285,0.2683575097092487,-0.0020640271380491554,-0.021918285851121946,0.07376320370228868,0.05010225182734112,0.16397550751612117,0.026218112804497328,0.1774358126719061,0.1478863296731539,0.2664626872983531,0.07877461804595866,0.35127643334506603,0.17825448615733433,0.11084851945399748,0.24840867085207405,0.33472150873315126,0.3618086620550247,0.2958363889247956,0.16525217442202675,0.01365770957708931,0.15883473195397158,0.056665223438774386,0.13719396858845825,0.026781055298260165,0.09401560542486638,0.3702451656983494,0.3325507640226942,0.2598203862143681,0.1057506113007293,0.1777349925072398,0.17858396847078645,0.26087241387774274,0.19717218899154626,0.05978707009783621,0.31873480539531324,0.07317300250258826,-0.09559987748644684,0.2724031737378275,0.23593085110211173,0.1541501721166973,0.25529199855947204,0.11030340509296764,0.014763119260267892,0.12302334419499147,0.09344481860709722,0.01626056181385333,0.24142189431181965,0.14160418180546194,0.1843070955257335,0.1624662952234187,0.13480096562706584,0.19861624514877768,0.2252535117090359,0.07888522749060883,0.14365495509493356,0.31694720781851593,0.22691275292694216,-0.04741000037881969,0.07788393106817482,0.013824798733055714,0.27922345079606326,0.24965511737416873,-0.07896755908065872,0.09652136641262711,0.052009714481647866,0.1995032443694913,0.2060739540206201,0.12389219186026804,-0.005114942582590252
AAT,0.380377837724785,0.09259707762136928,1.0,0.03248612513950136,0.4259975806674061,0.2733197633946896,0.22708012985902537,0.17572921452360127,0.34319656204197524,0.1738738594836169,0.3274510569833772,0.09512567403705938,0.4780321983583228,0.12822572276747166,0.27564973009267607,0.39892137685705037,0.16032415628689128,0.3470153946787079,0.27298724924060724,0.010475069927211289,0.004713183922931441,0.34092193266544174,0.40156628688177665,0.10763521918727824,0.274118249508517,0.10269128233743312,0.11015536065415764,0.05133688168254601,0.5182935097455231,0.39223740739640395,0.3029663163921522,0.11839356127483282,0.2743646052036197,0.16444877089104304,0.26047113007898987,0.04677994640240153,0.20489993230958398,0.025490886458119612,0.25526057327683666,0.2981003034822379,-0.03338390422625464,0.28296099400471314,0.10021813977745458,0.16785099849575544,0.3565590998799658,0.4207363428412613,0.41082610968235744,0.02906447383629721,0.2790164029087845,0.018942821651293806,0.1541466823052667,0.0690183716959561,0.27454452625647624,0.29092818058161274,0.11328421712699084,0.2629939212383089,0.4848339519076593,0.16086137558348967,0.25801397985895447,0.15260807273231425,-0.25353128115290186,0.15162880290604563,0.2930792836669823,0.17006961001020252,-0.03614519046178871,0.21372347065027747,0.42357449978997797,0.051889862035791885,0.3774924598452251,0.1623833489400967,0.3299513965931876,0.19940931591196823,0.10691372303922832,0.29272724390112775,0.17810306615897306,0.2873442887143381,0.2658420298868916,0.41958443327981576,0.19742217620192348,0.09812730318128413,0.5108723957511973,0.4899914709384284,0.15106891647151882,0.3357604655811663,0.30917807201831143,0.35572221641515783,0.21607959500783697,0.2811753280233967,0.38018923262456733,0.2168217580021361,0.13528417249260938,0.28805232306862566,0.1722527561751453,-0.05311226905004854,0.1844323871111891,0.4252856692604624,0.3998961897272534,0.20671859156978872,0.1640706560659806,0.22767018369717545,0.2518485954543608,0.333133879526611,0.38677620059526646,0.32777335129847907,0.41193971096343346,0.059270811825893215,0.06361765853290202,0.3580903728333283,0.22486016976172962,0.22346123539043491,0.007470494704645831,0.05917589425392466,0.0728617026249281,-0.0038835590773449277,0.047697179368226705,0.39103892575307,0.3106223472798335,0.1561177692556627,0.22880521863672643,0.32444789554445963,0.385159744391333,0.2728533493773965,0.3373292943159922,0.16507476930783008,0.2758459359790558,0.1783622664926828,0.397712596814752,0.297174236753186,0.4333691717231741,0.2799300215724697,0.20095581088697123,0.407815618107639,0.21074632652042122,0.08819984457073943,0.36744047098444055,0.3894128682636488,0.30281958856408187,0.4190288888106514,0.39709477467560544,0.23392750419699776,0.2579172993062704,0.35547957438626454,0.3011555084676479,0.46515241196214935,0.017789700574943033,0.36885636492512,0.13503033467161016,0.36100835005493553,0.06313851341292136,0.18776027384823255,-0.026778815041430072,0.3822165562983072,0.2715446701569492,0.3072347444893785,0.26101674263366603,0.18360165256660657,0.12047145073511341,0.384105483594708,0.120238153733687,0.2045607585365156,0.3074368366785464,0.14682520830061543,0.18688206931554424,0.49316875381143227,0.17136574571617316,0.35372552259700796,0.28385246646618045,0.032974697786718445,0.31888926566031855,0.5534750316022684,0.18255799821900665,0.49925355791681086,0.014564450312431771,0.17711763252614604,0.36322924835016873,0.010454846786099297,0.1495982454976493,0.03189383053543534,0.4337061097449986,0.39426505269407325,0.21087422326829716,0.017354262224068922,0.3781604701404742,0.2685275325834591,0.08723441168870101,0.1885177574597819,0.18895548054550024,0.30125419083849625,0.254618145312438,0.08828740491087267,0.06128886367428681,0.09895417100912225,0.45859540204120897,0.33921007720925805,0.36345876347646716,0.17224089498787168,0.17837090507152017,0.1902183391789172,0.45720551729563197,0.3131244808862314,-0.07328077361988232,0.39688548992012546,0.056012990714418315,0.2723989616330923,0.2649526491502149,0.09024195008633489,0.4141610728857101,0.3500276846807984,-0.038132785689076375,0.11877333831990013,0.2016261608964707,0.1749091485168042,0.27415433384331556,0.5137400369591872,0.16518245412483734,0.20214090006401342,0.1884466753810078,0.1617576499963964,0.17658864656758744,0.33035518174707135,0.2393084517306039,0.09750090787663207,0.45149731906471,0.19916026109048054,0.30778065964107365,0.21228196447202397,0.24339740845579166,0.0022106601425364945,0.31776240548025053,0.4602553481488223,0.21174442117521738,0.05790247991347459,0.19879213666493428,0.41758381558742036,0.14944985680995468,-0.04834401179394403,0.15036224643362917,0.031769517480688535,0.118293467829219,0.26249879812301447,0.4537754616831256,0.26549714935989166,0.26047328343401926,0.1865904949434683,0.2185661844611173,0.09989497402062615,0.16427562558808212,0.2735550720340718,0.0654495829688432,0.2638795472164532,0.2172091047393098,0.2116642661615313,-0.018353467444142357,-0.0468573928564336,0.13825440510764242,0.34278138770921807,0.0867817991687268,0.18808095853652135,0.04190355243271735,0.07822410998368828,0.10895968023065221,0.11194973274214132,0.46688910868787287,0.11814487934186615,0.11903536320407299,0.19777424445798872,0.2314421793439771,0.20553449302071283,0.3265759522765954,0.16358991924024158,0.42207035866897835,0.2369404821769571,0.3642456197855054,0.10946210993055056,0.15997985992899968,0.2487963128779187,0.3104994561368045,0.29236964179578756,0.11561462383545774,-0.018816245818246806,0.4043281822489124,0.2323646831161056,0.04210068577060547,0.133283011093903,0.10586053682613006,0.2424919427646009,0.37836931906027954,0.17037675084386522,-0.029835262108312288,0.24911846269077761,0.0001237800258265711,0.2134784335616741,-0.02481539062701036,0.13712702635828944,0.27772314025997824,0.15837547055885737,0.2036758493810512,0.24420890924189287,0.4678902047492766,0.30475757135037684,0.23507990415748922,0.009198519995546564,0.15787619850000706,0.20715287634514334,0.11342666768949111,0.43101221928409506,0.349559473257305,0.34512722281094216,-0.012838200170607335,-0.021407728683682105,0.10282284621184841,0.15658910814312127,0.2773880181330775,0.1945602409409789,0.006609012288575623,0.3110411822724078,0.06661726360985772,0.4581163070706784,0.21301898639333114,0.0900870524662644,0.21573519331752436,0.13261410066395565,0.05258012303261804,0.23357380657576116,0.287274272052316,0.36823949436427356,0.26985898898289196,0.15703248845771137,0.028340283843105753,0.08819963999109424,0.43923368674304303,0.3602317766453831,-0.024438017822288795,0.32612275252380685,0.27435108409074055,0.1348492156421693,0.13712061398206887,0.3078899585313087,0.2692644027737555,0.24448175046112533,0.09902044863902612,0.09667589535993702,0.4946327759366342,-0.014327382631275256,0.10019942554262821,0.3102204462675773,0.21354632408778304,0.23691206969828355,0.3890512989793535,0.12208733734892821,0.11311682575288955,0.15588903069629786,0.12897852191880313,0.2519194668803488,0.19234881575686608,0.06631705053188414,0.3470350032476421,0.02416433239866008,0.24662323802720673,0.22471962263557416,0.2863004834494648,0.1866650287740753,0.4843749505841953,0.4559117731398805,-0.06410804708977326,-0.07059032153963718,0.24105158293876547,0.2351894779395686,0.08102125876683579,0.18206714352478412,0.08242903915053972,0.17783906530216265,0.04760906014068736,0.2572047947391428,0.3193107801659429,0.13795555557773603,0.05142610784603466
