symbol,expected_return,volatility
CTD,0.18072523450345251,0.3859359395345025
TCB,0.16006249115797885,0.32693159390938875
VCB,0.22467830364770947,0.2813184517308164
VIC,0.3038023705025976,0.31626164486395164
