Latent Factor,Mean,Std Dev,Skewness,Excess Kurtosis
Z1,-0.0684796,0.28737733,-0.1610625833272934,3.3806753
Z2,-0.0052289045,0.19882567,-0.9324043989181519,3.1543279
Z3,-0.11768609,0.24931471,0.5354908108711243,3.823398
