symbol,corr_signal_future_vol,corr_signal_future_dd
AAA,0.0555138898331212,0.02624129010623678
AAM,0.029424329861825648,0.03008166008922413
AAT,0.00683912781599427,-0.07501033057011568
ABR,-0.029327821855734484,0.10853408866067135
ABS,0.013327136116248847,-0.07181331399971047
ABT,0.040128616807541685,0.047202827879737966
ACB,-0.06941279954115277,0.0764339265471568
ACC,0.01879821871479021,-0.015064639420461084
ACG,0.02454175615427724,0.07322823563908766
ACL,0.022614547140154848,0.0449660027872765
ADG,-0.010579082525502067,-0.00978059049958593
ADP,-0.008176876428462744,-0.013506420184353614
ADS,-0.09937762053363744,0.031088806919601388
AGG,0.012550529880415348,-0.04568232582334267
ANV,0.11456088911350831,0.03006774866082994
APH,0.10744520060113216,-0.002454386117392493
ASG,-0.14935849195614037,0.025169375522926103
ASM,0.0017807433203574621,0.015326120463880709
ASP,0.001122954913858615,-0.025839128285627542
AST,-0.041458439685026285,0.044537529639625005
BAF,0.09428986080268843,0.06432518247558558
BCE,0.023863296043723174,0.018818225819076193
BCG,0.04638748979561827,0.015496389815282213
BCM,0.012174063490570465,0.09349339749139002
BFC,0.009735315093037844,-0.00041915120689265436
BHN,0.0124572939306103,0.0157357334795218
BIC,-0.006500925374233558,0.012536055497823842
BID,0.008335258518479365,0.08395445325851111
BKG,-0.028553117950952625,0.012501196044516506
BMC,-0.005153978634402004,0.026475011979757723
BMI,-0.02527363190724165,0.0861681374555795
BMP,0.17159845740540172,0.056589834497463645
BRC,-0.03129454671044239,0.003357638247766432
BSR,0.027584268070942275,0.018052854890849266
BTP,-0.013962761242626888,0.025847285723040098
BTT,-0.011235724834285442,-0.006507475067414984
BVH,-0.0020770598898666405,0.07255833520795205
BWE,-0.026634457209615187,-0.05414732988537292
C32,-0.0030194975450523287,-0.04647755402492027
C47,0.0007751878542713011,0.020217322042772642
CCI,0.10470199119267092,0.032495043727860135
CCL,0.08358135592304212,0.08462723782674304
CDC,-0.0010054423439878868,0.09367137328420756
CHP,-0.058755013167464266,0.06336449738194401
CIG,0.10126675750507962,0.06423533994441528
CII,-0.00742882327611507,0.01708503486581516
CKG,-0.05930284598791314,0.02264633408649546
CLC,-0.07124414709489282,0.053917636368896196
CLL,0.026854384322223042,0.03421760247313184
CLW,-0.08101885147548911,0.08139067703461891
CMG,0.043244796303182384,0.12543325321869644
CMV,0.028920349442701433,0.024357415611557038
CMX,0.06587607764395753,0.05056264233968588
CNG,0.03276287924634622,0.007337094746838925
COM,-0.040550709348727294,0.037790721165393636
CRC,-0.07896080791881377,-0.04905066491963862
CRE,-0.07845521337918938,0.01652317888855092
CSM,-0.03754794848409343,-0.017072018324197778
CSV,0.011018790559632336,0.03244954097335276
CTD,0.0672416759354068,0.008108716685136411
CTF,0.017100094643627262,0.022581957475927207
CTG,-0.011411763717533992,0.1013668983693137
CTI,-0.006989253156924554,0.034910462763896095
CTR,0.044499752271157114,0.03927590206763826
CVT,0.02729700271104409,0.08452277669525467
D2D,0.02310147330458939,0.05363456702768592
DAH,0.002692520639396086,0.02277373361310291
DAT,0.0720474514774094,0.023884892073129663
DBC,-0.03819913506483393,0.05556137523600774
DBD,0.06598456091481295,0.10307433599119918
DBT,-0.04042504118074625,0.016588844153417277
DC4,0.12201897905200393,0.010965025564632335
DCL,-0.09508117003395786,-0.015231833727468818
DCM,0.03635507298918094,-0.015357169304755001
DGC,-0.010090711376407492,0.035066887309721864
DGW,-0.0672177554566464,0.023093221921358098
DHA,0.02923841631649806,0.08558670181788214
DHC,-0.006447434457503205,0.05878698512935589
DHG,-0.02342922848206321,0.08122466670574724
DHM,-0.026942101218320757,-0.004081205545675339
DIG,0.12447497097109908,0.10169077167974609
DLG,0.08820741678476116,0.013651432785677398
DMC,0.0344404975525882,0.022326631950905552
DPG,0.07039532011882364,0.04156341314583746
DPM,0.07834356065548041,0.02975306976341521
DPR,0.04903826464171066,0.10681857122348518
DQC,0.08016715554148035,-0.017538526800914476
DRC,-0.06479145372736791,0.05188601984219408
DRH,0.10238112194891723,0.007852671300874003
DRL,-0.03721199057165608,0.042237049042378134
DSN,-0.07310455036826169,-0.0009864668966221143
DTA,-0.13178637745995606,-0.01659847621767595
DTL,0.07953391794505159,0.02483358987052699
DTT,-0.06299901495903382,0.10414110437153902
DVP,-0.09806423485027038,0.029157975948439257
DXG,0.018377509558112213,0.069191210321833
DXS,0.07215345118344392,0.07624304692825125
DXV,0.07026180132133289,0.019260487434663836
EIB,0.05730756326685613,0.0725933977399192
ELC,-0.010344990015269891,0.02036200391612927
EVE,-0.08449945982699246,0.01791532614136656
EVF,-0.056502494328413644,0.06764101749612937
EVG,0.04812362690395973,0.018839013302581965
FCM,0.08148400496162622,0.06294088265656313
FCN,-0.035265859378433656,0.05814486309080029
FDC,0.09217365882380822,0.010544816486524217
FIR,0.05415943444943772,0.034765382033808946
FIT,0.12278487214826267,-0.0035753919571675495
FMC,0.016547556750325616,0.06019687925929322
FPT,-0.041426781597499754,0.09165220375437101
FRT,0.05269637267616722,-0.01441279533812333
GAS,-0.0276584553378511,0.0729437565928439
GDT,-0.01870479498450936,0.02572310804339374
GEE,0.11956726301544394,0.1618799513000585
GEG,0.026823698652843724,0.014502244889420422
GEX,0.004278686185794167,-0.0027279950412807197
GIL,-0.011518967825876858,0.0033888765064507545
GMC,-0.06542270922128093,0.04837057496019476
GMD,0.03883138021992209,0.011866291295636388
GMH,0.06504324385531102,-0.23254752856918107
GSP,0.011077868446811667,0.03189915247139274
GTA,0.13323267912547693,-0.0019925461606956226
GVR,0.020187920713004362,-0.014200470417487697
HAG,0.0374633157243945,0.021114177136890563
HAH,0.11685076082359495,0.01327506066816311
HAP,0.024144673765378075,-0.020029662169713837
HAR,0.08418934196405703,0.11578974520856836
HAS,0.0004375009239277461,-0.037023315555592455
