metric,value
start_balance,1016143.9915645058
end_balance,3236642.1550996806
cagr,0.21304163886443783
mean_return_annual,0.21306625889869638
volatility_annual,0.17527126447068841
sharpe_ratio,1.215637141331451
sortino_ratio,1.4925230338346103
max_drawdown,-0.3383955410300103
best_day_return,0.0576456519901184
worst_day_return,-0.0629949225612846
positive_days_ratio,0.5554072096128171
var_5,-0.016054127893146784
cvar_5,-0.027491428379365843
skewness,-0.5223538373382908
excess_kurtosis,5.4532542817540435
