Asset,Observations,Mean,Std Dev,Min,Max,Skewness,Excess Kurtosis,VaR 5%,CVaR 5%,Max Drawdown
portfolio,1909.0,0.0008680588441916091,0.014188924277439334,-0.0689382313570364,0.0743295019157088,-0.4409748894077071,3.93504345284481,-0.02226264934091594,-0.036441760612249796,-0.44644687955504364
benchmark,1909.0,0.0006377424361465723,0.010003385108656908,-0.0566671254118242,0.0636808319436962,-1.2654672671455902,6.420728210268129,-0.01714697833816456,-0.029190714284460777,-0.5125339824304588
