Asset,Expected Return,Standard Deviation,Sharpe Ratio,Min Weight,Max Weight
VCB,0.3851,0.2506,1.5367,0.0,1.0
PHR,0.5258,0.3422,1.5367,0.0,1.0
BVH,0.5765,0.378,1.5251,0.0,1.0
PLX,0.4473,0.2978,1.5018,0.0,1.0
VSI,0.6143,0.4111,1.4942,0.0,1.0
PET,0.7171,0.4873,1.4715,0.0,1.0
KBC,0.5451,0.3717,1.4665,0.0,1.0
MSB,0.4839,0.3313,1.4608,0.0,1.0
AST,0.3846,0.2641,1.4561,0.0,1.0
TN1,0.5599,0.387,1.4469,0.0,1.0
HTV,0.5198,0.3605,1.4419,0.0,1.0
TPB,0.526,0.3688,1.4265,0.0,1.0
DPM,0.4247,0.3047,1.3939,0.0,1.0
GEX,0.7533,0.5413,1.3915,0.0,1.0
PMG,0.781,0.5664,1.379,0.0,1.0
STB,0.5185,0.3771,1.3751,0.0,1.0
MHC,0.6379,0.4641,1.3745,0.0,1.0
LIX,0.3494,0.2575,1.3566,0.0,1.0
VNE,0.6153,0.454,1.3551,0.0,1.0
C47,0.5759,0.4277,1.3466,0.0,1.0
TCB,0.4212,0.3167,1.33,0.0,1.0
HPG,0.3708,0.2811,1.319,0.0,1.0
MSN,0.4051,0.3084,1.3134,0.0,1.0
PVT,0.3823,0.2934,1.3031,0.0,1.0
ICT,0.5949,0.4646,1.2803,0.0,1.0
PLP,0.5385,0.4211,1.2787,0.0,1.0
KHG,0.4732,0.3766,1.2563,0.0,1.0
OCB,0.4241,0.3415,1.242,0.0,1.0
TRC,0.3534,0.2862,1.2348,0.0,1.0
SPM,1408.8467,1158.3322,1.2163,0.0,1.0
ITD,0.374,0.3076,1.2158,0.0,1.0
ACB,0.3037,0.251,1.21,0.0,1.0
NTL,0.4507,0.3774,1.1942,0.0,1.0
VRE,0.569,0.4805,1.1841,0.0,1.0
SMC,0.5459,0.4648,1.1746,0.0,1.0
PVP,0.254,0.2172,1.1692,0.0,1.0
LPB,0.4017,0.344,1.1676,0.0,1.0
DAH,0.269,0.233,1.1542,0.0,1.0
DPG,0.4885,0.4244,1.151,0.0,1.0
VNM,0.2754,0.2494,1.1039,0.0,1.0
SVD,0.5474,0.5005,1.0936,0.0,1.0
DGW,0.4409,0.4039,1.0916,0.0,1.0
VDP,0.5196,0.4781,1.0867,0.0,1.0
DAT,0.6907,0.6427,1.0748,0.0,1.0
HTG,0.2333,0.2176,1.0721,0.0,1.0
HAG,0.4425,0.4156,1.0647,0.0,1.0
STG,0.6059,0.5751,1.0535,0.0,1.0
SCR,0.4527,0.4323,1.0471,0.0,1.0
TCT,0.2921,0.2822,1.0352,0.0,1.0
KHP,0.2203,0.2138,1.03,0.0,1.0
EVG,0.4874,0.4738,1.0289,0.0,1.0
GVR,0.3752,0.3658,1.0255,0.0,1.0
BCE,0.1801,0.1763,1.0215,0.0,1.0
DTL,0.3692,0.3623,1.0191,0.0,1.0
MIG,0.288,0.2836,1.0154,0.0,1.0
PC1,0.4167,0.4118,1.0117,0.0,1.0
BIC,0.3288,0.3283,1.0016,0.0,1.0
NKG,0.3457,0.3533,0.9785,0.0,1.0
TLG,0.3005,0.3138,0.9578,0.0,1.0
DXS,0.4801,0.5056,0.9495,0.0,1.0
VCG,0.3205,0.3383,0.9476,0.0,1.0
L10,0.4447,0.4715,0.9431,0.0,1.0
PTB,0.2096,0.2247,0.9327,0.0,1.0
VSC,0.5471,0.5934,0.9219,0.0,1.0
TYA,0.2708,0.2939,0.9216,0.0,1.0
LCG,0.3178,0.3515,0.9042,0.0,1.0
TEG,0.3946,0.4473,0.8821,0.0,1.0
EVE,0.2509,0.2868,0.8748,0.0,1.0
VIB,0.2514,0.2883,0.8719,0.0,1.0
CLC,0.2315,0.267,0.867,0.0,1.0
QCG,0.4201,0.4875,0.8618,0.0,1.0
PAN,0.2886,0.3377,0.8548,0.0,1.0
GMD,0.2797,0.3291,0.8497,0.0,1.0
HDG,0.3729,0.4472,0.8338,0.0,1.0
IMP,0.1898,0.2282,0.8318,0.0,1.0
DIG,0.4067,0.4969,0.8185,0.0,1.0
HAR,0.3696,0.4517,0.8182,0.0,1.0
ABR,0.3779,0.4681,0.8073,0.0,1.0
CIG,0.2443,0.3028,0.8068,0.0,1.0
TPC,0.358,0.4449,0.8046,0.0,1.0
PTC,0.2725,0.3408,0.7998,0.0,1.0
CCI,0.4017,0.5025,0.7995,0.0,1.0
PGV,0.1895,0.2372,0.7988,0.0,1.0
EVF,0.3335,0.4199,0.7944,0.0,1.0
VPD,0.1057,0.1336,0.7907,0.0,1.0
PTL,0.3383,0.4287,0.7893,0.0,1.0
EIB,0.3382,0.4293,0.7878,0.0,1.0
DPR,0.2422,0.3139,0.7715,0.0,1.0
PNC,0.5131,0.6653,0.7712,0.0,1.0
MSH,0.2287,0.2973,0.7692,0.0,1.0
TTF,0.3188,0.4179,0.763,0.0,1.0
TVT,0.2017,0.2663,0.7573,0.0,1.0
MCP,0.13,0.1747,0.7441,0.0,1.0
LM8,0.2654,0.3656,0.7259,0.0,1.0
TNC,0.4182,0.5781,0.7233,0.0,1.0
AAA,0.2191,0.3048,0.7187,0.0,1.0
JVC,0.3213,0.4471,0.7187,0.0,1.0
DXG,0.3078,0.4332,0.7104,0.0,1.0
GMH,0.1947,0.2743,0.7099,0.0,1.0
HUB,0.1418,0.1999,0.7093,0.0,1.0
HAH,0.2991,0.422,0.7088,0.0,1.0
DCM,0.2108,0.3019,0.6982,0.0,1.0
PDR,0.3269,0.4734,0.6906,0.0,1.0
BFC,0.2074,0.3023,0.6861,0.0,1.0
VNL,0.1406,0.2074,0.6781,0.0,1.0
SAM,0.2404,0.3552,0.6768,0.0,1.0
CTI,0.2296,0.3443,0.6669,0.0,1.0
ITC,0.2599,0.3906,0.6652,0.0,1.0
BAF,0.1373,0.2067,0.6642,0.0,1.0
AAT,0.1834,0.2781,0.6594,0.0,1.0
HCD,0.1476,0.2255,0.6544,0.0,1.0
HPX,0.2349,0.36,0.6525,0.0,1.0
KDH,0.249,0.3835,0.6494,0.0,1.0
CRE,0.2518,0.3927,0.6412,0.0,1.0
BCM,0.1749,0.2735,0.6398,0.0,1.0
SBG,0.125,0.1984,0.63,0.0,1.0
LAF,0.1492,0.2377,0.6277,0.0,1.0
VHC,0.2052,0.3342,0.6141,0.0,1.0
DLG,0.2821,0.4602,0.6129,0.0,1.0
HHV,0.2201,0.3606,0.6104,0.0,1.0
CMV,0.2111,0.358,0.5897,0.0,1.0
ADS,0.1422,0.2413,0.5893,0.0,1.0
TIP,0.1123,0.191,0.5882,0.0,1.0
SAB,0.1386,0.2362,0.5871,0.0,1.0
NAB,0.1365,0.2333,0.5853,0.0,1.0
CTR,0.1791,0.3116,0.5749,0.0,1.0
TTA,0.1437,0.2507,0.5734,0.0,1.0
TCH,0.2574,0.4519,0.5697,0.0,1.0
VPI,0.1678,0.2999,0.5593,0.0,1.0
ELC,0.1331,0.2421,0.5499,0.0,1.0
VIC,0.7238,1.3246,0.5464,0.0,1.0
DBC,0.1796,0.3288,0.5463,0.0,1.0
CRC,0.1882,0.3495,0.5385,0.0,1.0
IJC,0.1815,0.3402,0.5337,0.0,1.0
DQC,0.1944,0.3656,0.5318,0.0,1.0
FIT,0.1741,0.3319,0.5245,0.0,1.0
HVX,0.2181,0.4226,0.5161,0.0,1.0
ACG,0.0855,0.1665,0.5136,0.0,1.0
VPS,0.2338,0.4613,0.5068,0.0,1.0
SMB,0.0541,0.1085,0.4992,0.0,1.0
LGC,0.1429,0.2913,0.4906,0.0,1.0
GMC,0.21,0.4283,0.4903,0.0,1.0
TDM,0.1088,0.2229,0.4879,0.0,1.0
THG,0.1104,0.2299,0.48,0.0,1.0
IDI,0.1704,0.36,0.4732,0.0,1.0
PAC,0.1878,0.4055,0.4631,0.0,1.0
KSB,0.167,0.3615,0.4618,0.0,1.0
HU1,0.266,0.5775,0.4607,0.0,1.0
TTE,0.0851,0.1862,0.4567,0.0,1.0
VGC,0.1764,0.4071,0.4333,0.0,1.0
VID,0.1028,0.2389,0.4305,0.0,1.0
FCN,0.1773,0.4127,0.4296,0.0,1.0
