date,symbol,allocation_weight,risk_regime,risk_profile
2020-03-26,FPT,0.18109685165213044,HIGH,balanced
2020-03-26,ACB,0.2515647380775146,HIGH,balanced
2020-03-26,GEX,0.1151281363193631,HIGH,balanced
2020-03-26,VNM,0.19999999999999996,HIGH,balanced
2020-03-27,CTD,0.25221027395099177,HIGH,balanced
2020-03-27,FPT,0.18109685165213044,HIGH,balanced
2020-03-27,ACB,0.2515647380775146,HIGH,balanced
2020-03-27,GEX,0.1151281363193631,HIGH,balanced
2020-03-27,VNM,0.19999999999999996,HIGH,balanced
2020-03-30,CTD,0.25221027395099177,HIGH,balanced
2020-03-30,FPT,0.18109685165213044,HIGH,balanced
2020-03-30,ACB,0.2515647380775146,HIGH,balanced
2020-03-30,GEX,0.1151281363193631,HIGH,balanced
2020-03-30,VNM,0.19999999999999996,HIGH,balanced
2020-03-31,CTD,0.25221027395099177,HIGH,balanced
2020-03-31,FPT,0.18109685165213044,HIGH,balanced
2020-03-31,ACB,0.2515647380775146,HIGH,balanced
2020-03-31,GEX,0.1151281363193631,HIGH,balanced
2020-03-31,VNM,0.19999999999999996,HIGH,balanced
2020-04-01,VNM,0.0805147390839488,HIGH,balanced
2020-04-01,ACB,0.2503318962756831,HIGH,balanced
2020-04-01,CTD,0.2461491905606284,HIGH,balanced
2020-04-01,FPT,0.22300417407973971,HIGH,balanced
2020-04-01,GEX,0.2,HIGH,balanced
2020-04-03,VNM,0.0805147390839488,HIGH,balanced
2020-04-03,ACB,0.2503318962756831,HIGH,balanced
2020-04-03,CTD,0.2461491905606284,HIGH,balanced
2020-04-03,FPT,0.22300417407973971,HIGH,balanced
2020-04-03,GEX,0.2,HIGH,balanced
2020-04-06,VNM,0.0805147390839488,HIGH,balanced
2020-04-06,ACB,0.2503318962756831,HIGH,balanced
2020-04-06,CTD,0.2461491905606284,HIGH,balanced
2020-04-06,FPT,0.22300417407973971,HIGH,balanced
2020-04-06,GEX,0.2,HIGH,balanced
2020-04-07,VNM,0.0805147390839488,HIGH,balanced
2020-04-07,ACB,0.2503318962756831,HIGH,balanced
2020-04-07,CTD,0.2461491905606284,HIGH,balanced
2020-04-07,FPT,0.22300417407973971,HIGH,balanced
2020-04-07,GEX,0.2,HIGH,balanced
2020-04-08,VNM,0.0805147390839488,HIGH,balanced
2020-04-08,ACB,0.2503318962756831,HIGH,balanced
2020-04-08,CTD,0.2461491905606284,HIGH,balanced
2020-04-08,FPT,0.22300417407973971,HIGH,balanced
2020-04-08,GEX,0.2,HIGH,balanced
2020-04-09,VNM,0.0805147390839488,HIGH,balanced
2020-04-09,ACB,0.2503318962756831,HIGH,balanced
2020-04-09,CTD,0.2461491905606284,HIGH,balanced
2020-04-09,FPT,0.22300417407973971,HIGH,balanced
2020-04-09,GEX,0.2,HIGH,balanced
2020-04-10,VNM,0.0805147390839488,HIGH,balanced
