date,symbol,allocation_weight
2019-02-26,AAA,0.038563568221839734
2019-02-28,AAA,0.028088699975646465
2019-03-05,AAA,0.0298823005726826
2019-03-06,AAA,0.02931647598568387
2019-03-07,AAA,0.023757551517159196
2019-03-08,AAA,0.024594144695736883
2019-03-11,AAA,0.02782974733249094
2019-03-12,AAA,0.025214453994777213
2019-03-13,AAA,0.03700686845615586
2019-03-14,AAA,0.029566222024142868
2019-03-15,AAA,0.02897604725602486
2019-03-22,AAA,0.04620212274400241
2019-03-25,AAA,0.040997308555454935
2019-03-28,AAA,0.02995556155422501
2019-04-02,AAA,0.0198073391070628
2019-04-03,AAA,0.010024583668916233
2019-04-08,AAA,0.02952764958867999
2019-04-09,AAA,0.0696375405894892
2019-04-10,AAA,0.1355961013257308
2019-04-11,AAA,0.03289102429491945
2019-04-12,AAA,0.12245304813870622
2019-04-16,AAA,0.2599832789313628
2019-04-17,AAA,0.2954332216907505
2019-04-18,AAA,0.04284741994324705
2019-04-19,AAA,0.06900293029923199
2019-04-22,AAA,0.035639594539691816
2019-04-23,AAA,0.14409771553648504
2019-04-25,AAA,0.028658097425313445
2019-05-02,AAA,0.030238957296189656
2019-05-06,AAA,0.034369057617813656
2019-05-07,AAA,0.02830716170508612
2019-06-14,AAA,0.026637359500473187
2019-06-17,AAA,0.0632051155199228
2019-07-02,AAA,0.040146187959067076
2019-07-08,AAA,0.03814878043398328
2019-07-09,AAA,0.022318457024315105
2019-07-10,AAA,0.016987355433033376
2019-07-11,AAA,0.02510227545240855
2019-07-15,AAA,0.032640389837818216
2019-07-17,AAA,0.028054123443492802
2019-07-18,AAA,0.033490962401677406
2019-07-19,AAA,0.030023731146712872
2019-07-22,AAA,0.026719818735077852
2019-07-23,AAA,0.02588767014144682
2019-07-24,AAA,0.02673688104192502
2020-05-27,AAA,0.028382778909809375
2020-12-10,AAA,0.02949463181653962
2023-02-21,AAA,0.033095803694867046
2023-05-10,AAA,0.5668486016353372
2023-05-11,AAA,0.6390668047860986
2023-05-12,AAA,0.26721276720449116
2023-05-15,AAA,0.25305149751745604
2023-05-16,AAA,0.5431792003948577
2023-05-17,AAA,0.03433659510025774
2023-05-18,AAA,0.07751074690108337
2023-05-19,AAA,0.05012803132353368
2023-05-22,AAA,0.028157315718325356
2023-07-06,AAA,0.15315550901237396
2023-07-07,AAA,0.4935352796832277
2023-07-26,AAA,0.027311617548323744
2024-01-19,AAA,0.02129750998993332
2024-01-23,AAA,0.02206148882093683
2024-01-26,AAA,0.1562803864402337
2024-01-29,AAA,0.06357060740698559
2024-01-30,AAA,0.18735390608966307
2024-02-22,AAA,0.030798839047421936
2025-03-05,AAA,0.03010993011596995
2025-07-31,AAA,0.03250343920714758
2025-08-01,AAA,0.031282384819852564
2018-06-26,AAM,0.04303745626889595
2019-10-28,AAM,0.6330992203625784
2022-03-24,AAM,0.06232886186941555
2022-05-24,AAT,0.023055687871541112
2022-05-25,AAT,0.014804165661870835
2022-05-26,AAT,0.03601975035157073
2022-05-27,AAT,0.07322798631056177
2022-05-30,AAT,0.031206549471249498
2022-05-31,AAT,0.027617919575397207
2022-06-01,AAT,0.02789398340146072
2022-06-02,AAT,0.022460301070097853
2022-06-03,AAT,0.04961954173118349
2022-06-07,AAT,0.008996191158182877
2022-08-22,AAT,0.028363781287917694
2023-06-14,AAT,0.041435484783290094
2023-08-09,AAT,0.013879329798634914
2018-10-31,ABR,0.1705839417068697
2018-11-30,ABR,0.3390271961543888
2018-12-03,ABR,0.03074517883022956
2018-12-04,ABR,0.033558479529845815
2018-12-05,ABR,0.03162654917261776
2018-12-06,ABR,0.029577464206724243
2018-12-07,ABR,0.031020379583952408
2018-12-10,ABR,0.031716635640126056
2018-12-11,ABR,0.04919994314181341
2019-02-27,ABR,0.6707857326197767
2019-03-08,ABR,0.3574176848838594
2019-07-31,ABR,0.6167132714926876
2019-08-01,ABR,0.16867629747271023
2019-08-02,ABR,0.6986430390922636
2019-08-05,ABR,0.4419933238417952
2019-08-06,ABR,0.07063154548101694
2019-08-07,ABR,0.5506550665905304
2019-08-08,ABR,0.3750125343251147
2019-08-09,ABR,0.6234670398471573
2019-08-12,ABR,0.7212585563332056
2019-08-13,ABR,0.721573593549985
2019-08-14,ABR,0.5549384443967701
2019-08-15,ABR,0.6736093580249722
2019-08-16,ABR,0.3863998988991682
2019-08-19,ABR,0.6689676278374479
2019-08-20,ABR,0.7235140592275616
2019-08-21,ABR,0.7238983052829899
2019-08-22,ABR,0.7218436237599332
2019-11-08,ABR,0.6702185407992974
2019-11-11,ABR,0.03594932550021432
2019-11-12,ABR,0.03171550126768164
2019-11-13,ABR,0.029369148244610864
2019-11-15,ABR,0.03357559301678761
2019-11-18,ABR,0.0271428618074166
2019-11-19,ABR,0.04722629104266023
2019-11-20,ABR,0.038741268421869104
2019-11-21,ABR,0.033036863519734644
2019-11-22,ABR,0.027410768915945953
2019-11-25,ABR,0.025358000764942167
2019-11-26,ABR,0.029469456323185168
2019-11-27,ABR,0.044110625037678895
2019-11-28,ABR,0.03075133150725066
2019-11-29,ABR,0.11978703259266327
2020-01-03,ABR,0.11335347361534287
2020-01-30,ABR,0.10538659948727669
2020-03-09,ABR,0.7148787638872992
2020-03-10,ABR,0.03727894788252765
2020-03-11,ABR,0.04025476294278613
2020-03-13,ABR,0.44857857746248503
2020-03-16,ABR,0.5666915521081678
2020-03-17,ABR,0.5796656776137684
2020-03-18,ABR,0.3168980557771238
2020-03-19,ABR,0.5322214822710208
2020-03-20,ABR,0.05318046987731126
2020-03-23,ABR,0.054913259814666264
2020-03-24,ABR,0.270431240553181
2020-03-26,ABR,0.04252365386472085
2020-03-27,ABR,0.03833974691667901
2020-07-01,ABR,0.0387564352254172
2020-08-21,ABR,0.03621781675883541
2021-06-25,ABR,0.03599171863025624
2021-01-18,ABS,0.018196805946822287
2021-01-19,ABS,0.25622061551140585
2021-01-20,ABS,0.08813971209190757
2021-01-21,ABS,0.06427389302403394
2021-01-22,ABS,0.03079126538287039
2021-01-25,ABS,0.06813407665141884
2021-01-26,ABS,0.06669615755193886
2021-01-27,ABS,0.0763344113303879
2021-01-28,ABS,0.08750896634702149
2021-01-29,ABS,0.10833781903518275
2021-02-01,ABS,0.07477279522811185
2021-02-02,ABS,0.07786069288766836
2021-02-03,ABS,0.08926718953691411
2021-02-04,ABS,0.052142145171085126
2021-02-05,ABS,0.10592387273973777
2021-02-08,ABS,0.12053525639412896
2021-02-09,ABS,0.10114849912252503
2021-02-17,ABS,0.10662555731016711
2021-02-18,ABS,0.1292708141475795
2021-02-19,ABS,0.07410023791258599
2021-02-22,ABS,0.11597035032995898
2021-02-23,ABS,0.1670557377898922
2021-02-24,ABS,0.15829084798357312
2021-02-25,ABS,0.1911182719084317
2021-02-26,ABS,0.2547854476387603
2021-03-01,ABS,0.23695092019103778
2021-03-02,ABS,0.2679154474246721
2021-03-03,ABS,0.12981351540070998
2021-03-04,ABS,0.33324314745044314
2021-03-05,ABS,0.34252852133977973
2021-03-08,ABS,0.37224988892335875
2021-03-09,ABS,0.0777054690305418
2021-03-10,ABS,0.07454765842127088
2021-03-11,ABS,0.16056291744047016
2021-03-12,ABS,0.06414447504967369
2021-03-15,ABS,0.10049765102629635
2021-03-16,ABS,0.09686723781460266
2021-03-17,ABS,0.06514411177820958
2021-03-18,ABS,0.04403161119147581
2021-03-19,ABS,0.08878310043881438
2021-03-22,ABS,0.09144569728299036
2021-03-23,ABS,0.05252006300356135
2021-03-24,ABS,0.03677891462212562
2021-03-25,ABS,0.03571922169700932
2021-03-26,ABS,0.025282743353771932
2021-03-30,ABS,0.025688850997629492
