date,vol_20,vol_60,vol_change,max_drawdown_60
2014-09-24,0.025446294895877124,0.018760865184807844,0.055974692905407894,-0.04365079365079361
2014-09-25,0.025334891565338653,0.018760865184807844,-0.004443525505609165,-0.04365079365079361
2014-09-26,0.025394244594487542,0.018797316518430772,0.0023697997420628544,-0.051587301587301626
2014-09-29,0.025450413111153845,0.01872399764728898,0.0022376199320041992,-0.05753968253968256
2014-09-30,0.025450413111153845,0.01852684500886267,0.0,-0.05753968253968256
2014-10-01,0.025725769520988883,0.018663131791284957,0.010899480641737319,-0.0357142857142857
2014-10-02,0.02545373231225188,0.018659546500392282,-0.0107674041978087,-0.029761904761904767
2014-10-03,0.02546940803216057,0.018650108524294495,0.000623532846638511,-0.02182539682539686
2014-10-06,0.028747080184849887,0.02024420975776563,0.12270435189481595,0.0
2014-10-07,0.026966543405596115,0.019968048188152128,-0.06483361748905263,-0.013307984790874472
2014-10-08,0.027130854251637346,0.020000122247262712,0.006157172539943037,-0.020912547528517123
2014-10-09,0.026843741514549442,0.01999712793778583,-0.01078310855813416,-0.013307984790874472
2014-10-10,0.02670885765741359,0.02002011596948295,-0.005105186238349036,0.0
2014-10-13,0.0267588562850034,0.02002011596948295,0.0018953467654119034,0.0
2014-10-14,0.02400298504995212,0.020188525378574906,-0.11007101645759565,-0.020912547528517123
2014-10-15,0.0237005603372221,0.02018431425472633,-0.012831317061344608,-0.049429657794676785
2014-10-16,0.022027502753246303,0.0203670346467147,-0.07404657748769342,-0.07034220532319391
2014-10-17,0.022086718880803484,0.020363985138560654,0.0027143901982109096,-0.06273764258555137
2014-10-20,0.022595040658063247,0.020839415900674563,0.023009067089703395,-0.028517110266159662
2014-10-21,0.02218881566961788,0.02057663257417028,-0.01834594142500976,-0.028517110266159662
2014-10-22,0.021139481231707752,0.020673227322036594,-0.04897246202194012,-0.041825095057034245
2014-10-23,0.021553158827728965,0.02077775446834361,0.019587512242128798,-0.020912547528517123
2014-10-24,0.021538718452782966,0.020689267370183926,-0.0006774591432385631,-0.028517110266159662
2014-10-27,0.023133743526646915,0.021243889778126683,0.07224058599179607,-0.06273764258555137
2014-10-28,0.023133743526646915,0.02121697230061887,0.0,-0.06273764258555137
2014-10-29,0.023096212886085436,0.021300473532246768,-0.0016424875353494362,-0.041825095057034245
2014-10-30,0.02316983951238457,0.02129261947253016,0.0032197060018336107,-0.049429657794676785
2014-10-31,0.02316711755589932,0.02045227094127543,-0.00011885151892542779,-0.041825095057034245
2014-11-03,0.01786307240615195,0.020343364786398623,-0.26265930078031374,-0.041825095057034245
2014-11-04,0.01767384012806252,0.020343364786398623,-0.01074489075976627,-0.041825095057034245
2014-11-05,0.017615504860904744,0.020343364786398623,-0.0033353667554423413,-0.041825095057034245
2014-11-06,0.018225346777553712,0.020483888639225976,0.034339645731920956,-0.020912547528517123
2014-11-07,0.022709681620285187,0.021868184718425384,0.22222773899282225,0.0
2014-11-10,0.02273257163430901,0.021873148051393135,0.0010189210446052833,0.0
2014-11-11,0.02236285640324994,0.02195969105216872,-0.016582928572863028,-0.0126811594202898
2014-11-12,0.021091150335711097,0.021948470230552745,-0.05918597769914519,-0.0126811594202898
2014-11-13,0.020671928773585254,0.021804482953234647,-0.02028718574977365,-0.02717391304347827
2014-11-14,0.02101737238974043,0.02188019945248253,0.016745984252917928,-0.03985507246376807
2014-11-17,0.020067297421803174,0.021956284639235765,-0.046734497600158416,-0.019927536231884035
2014-11-18,0.020364602858620816,0.02198628759166027,0.014855889904269476,-0.03260869565217395
2014-11-19,0.02015884294268491,0.021993662818493992,-0.010258414262143653,-0.03985507246376807
2014-11-20,0.019712057480310182,0.021958401774838196,-0.022636668209467286,-0.03260869565217395
2014-11-21,0.020347882798712823,0.02217436017093709,0.032065321845380634,-0.05434782608695654
2014-11-24,0.018469085716288008,0.02217436017093709,-0.09782096237496152,-0.05434782608695654
2014-11-25,0.01848532952977499,0.022184461076564504,0.0008872735738772654,-0.047101449275362306
2014-11-26,0.018686769268163414,0.022314011665643667,0.010939354608642675,-0.06702898550724634
2014-11-27,0.018682573166214307,0.022245725642746243,-0.00022667903230947866,-0.07427536231884058
2014-11-28,0.018671245587179176,0.022256873884169047,-0.000612182907190322,-0.07971014492753625
2014-12-01,0.01958123455919259,0.022471002905073124,0.04804343584516621,-0.05434782608695654
2014-12-02,0.019618483773348846,0.021757507952917077,0.001919168814782323,-0.047101449275362306
2014-12-03,0.019647318541241635,0.021762863084362125,0.0014831603043764534,-0.03985507246376807
2014-12-04,0.019247008735287677,0.021623135078352874,-0.02078600276745181,-0.047101449275362306
2014-12-05,0.013175363563189883,0.021601493966527677,-0.3125893716443434,-0.03985507246376807
2014-12-08,0.013018084469477711,0.021597788728410967,-0.01208798720882968,-0.03985507246376807
2014-12-09,0.01672774138280623,0.021146713904123263,0.25258825394505335,-0.08695652173913049
2014-12-10,0.018810353835790522,0.021111865808978864,0.11838327617572465,-0.05434782608695654
2014-12-11,0.018768223638780515,0.020374338066522,-0.0022633762515532367,-0.06702898550724634
2014-12-12,0.018595804024737365,0.020374338066522,-0.009315715894585798,-0.06702898550724634
2014-12-15,0.01789115414321247,0.02013372540687345,-0.03898293147469202,-0.06702898550724634
2014-12-16,0.017849508925211977,0.020035239874214354,-0.0023512954229874252,-0.05978260869565222
2014-12-17,0.017857703832078617,0.019489016874182488,0.00046311508402866695,-0.05434782608695654
2014-12-18,0.018521622751230822,0.019677091025555486,0.036836790339742,-0.03260869565217395
