date,latent_0,latent_1,latent_2
2014-09-24,0.2772531,0.15712082,-0.103726014
2014-09-25,0.32811746,0.08239285,-0.13571161
2014-09-26,0.2998324,0.17336982,-0.12946062
2014-09-29,0.3799347,-0.097288325,-0.14243671
2014-09-30,0.30927363,0.19256698,-0.15022689
2014-10-01,0.31012288,0.119081594,-0.14137658
2014-10-02,0.3443618,0.034555852,-0.15707725
2014-10-03,0.3708512,0.36490065,-0.22402759
2014-10-06,0.40027925,0.078697264,-0.19627301
2014-10-07,0.371905,0.16998352,-0.19084299
2014-10-08,0.3472726,0.039663807,-0.113214314
2014-10-09,0.33493868,-0.011339262,-0.09319022
2014-10-10,0.32084012,0.077421196,-0.120741695
2014-10-13,0.4025897,-0.47409457,-0.078269005
2014-10-14,0.2297658,0.09689487,-0.069067895
2014-10-15,0.30822402,-0.39339077,-0.024914593
2014-10-16,0.12869477,0.53286046,-0.012019575
2014-10-17,0.18480507,0.08363435,0.0142451525
2014-10-20,0.18601999,0.06999245,0.01527226
2014-10-21,0.13147953,0.19768962,0.03820008
2014-10-22,0.24459726,0.5033241,-0.0775525
2014-10-23,0.30995065,0.039727725,-0.049165964
2014-10-24,0.31280303,0.118626304,-0.0794597
2014-10-27,0.23757628,0.42463905,-0.00029861927
2014-10-28,0.32224053,0.27211702,-0.04449922
2014-10-29,0.3415828,0.11989544,-0.027406454
2014-10-30,0.28367597,0.24125576,0.022205353
2014-10-31,0.38741383,-0.124962494,-0.0039696395
2014-11-03,0.28676495,0.13477525,0.0067251623
2014-11-04,0.2769634,0.11424362,0.006450653
2014-11-05,0.2878648,0.016283512,-0.004795015
2014-11-06,0.2829824,0.13854608,-0.039181054
2014-11-07,0.3451217,0.3100254,-0.13088995
2014-11-10,0.3832319,0.14150053,-0.136376
2014-11-11,0.4244055,-0.041954413,-0.13719359
2014-11-12,0.37837157,0.12073931,-0.1557191
2014-11-13,0.47969785,-0.32599133,-0.16861644
2014-11-14,0.34803846,0.17144524,-0.18762493
2014-11-17,0.36749366,0.2391169,-0.21327212
2014-11-18,0.40522304,-0.034605876,-0.18723671
2014-11-19,0.44805005,-0.35993332,-0.1769639
2014-11-20,0.34117296,0.111907944,-0.2095049
2014-11-21,0.3181295,0.16126691,-0.1951348
2014-11-24,0.6048491,-1.0794517,-0.10631558
2014-11-25,0.321924,-0.12580462,-0.20076567
2014-11-26,0.22370818,0.36009502,-0.18672308
2014-11-27,0.36049345,-0.44331396,-0.14794958
