date,log_return,vol_20,vol_60,vol_change,max_drawdown_60
2021-09-24,0.001823154561513718,0.010030368365388004,0.010990401132636433,-0.0035489507664488626,-0.014362657091561926
2021-09-27,-0.020239881347745126,0.011039645641076882,0.011310733547626118,0.09587552379999881,-0.03411131059245964
2021-09-28,0.030208246628637525,0.012723856362784457,0.011894039146516874,0.1419856226330671,-0.004488330341113067
2021-09-29,-0.01590581136036917,0.012688439909795346,0.01210927363485156,-0.002787347327124685,-0.02019748653500897
2021-09-30,0.0,0.0125129480278756,0.011741695295139298,-0.013927374141178282,-0.02019748653500897
2021-10-01,0.005937446079476771,0.011940835280036552,0.0117474057010974,-0.046799850164201615,-0.014362657091561926
2021-10-04,0.046706287405944735,0.01588145925679029,0.013062772400047044,0.2851880745753612,0.0
2021-10-05,0.009946027936436508,0.015972392671219277,0.013085464712015132,0.005709425946806864,0.0
2021-10-06,0.006433648612377496,0.015810066311975235,0.012788599506170428,-0.010214921927124934,0.0
2021-10-07,-0.029062986743136676,0.017298988286459708,0.013434706793612744,0.09000111928390345,-0.028644719965797316
2021-10-08,-0.019556178793868284,0.01794426355539805,0.01375248229089134,0.03662244474201604,-0.04745617785378364
2021-10-11,0.032239488988190956,0.019214978459155218,0.014263367038330407,0.06841958134763887,-0.01624625908507904
2021-10-12,-0.003482807177460856,0.019219412395190018,0.01380378617715228,0.00023072741097935134,-0.01966652415562209
2021-10-13,-0.012286244940769464,0.01950179616383428,0.013746899069754475,0.01458573425558447,-0.03163745190252243
2021-10-14,0.006161991328548666,0.018863876338890966,0.01374819810585536,-0.03325776658193312,-0.025651988029072204
2021-10-15,0.0030668151090722517,0.01877538868006954,0.013602364918258777,-0.004701886435866542,-0.022659256092347202
2021-10-18,0.0030574385031485463,0.018264680777994865,0.013597768624686798,-0.027577701701666697,-0.01966652415562209
2021-10-19,0.0,0.018238748138464284,0.013597768624686798,-0.0014208325329800107,-0.01966652415562209
2021-10-20,-0.009200503016861816,0.01841373729527976,0.013674551810057172,0.009548623446790232,-0.028644719965797316
2021-10-21,-0.003085741923907648,0.0184424504688648,0.013693850394870193,0.0015581190326354904,-0.03163745190252243
