date,weight
2018-02-01,1.0
2018-02-02,1.0
2018-02-05,1.0
2018-02-06,1.0
2018-02-07,1.0
2018-02-08,1.0
2018-02-09,1.0
2018-02-12,1.0
2018-02-13,1.0
2018-02-21,1.0
2018-02-22,1.0
2018-02-23,1.0
2018-02-26,1.0
2018-02-27,1.0
2018-02-28,1.0
2018-03-01,1.0
2018-03-02,1.0
2018-03-05,1.0
2018-03-06,1.0
2018-03-07,1.0
2018-03-08,1.0
2018-03-09,1.0
2018-03-12,1.0
2018-03-13,1.0
2018-03-14,1.0
2018-03-15,1.0
2018-03-16,1.0
2018-03-19,1.0
2018-03-20,1.0
2018-03-21,1.0
2018-03-22,1.0
2018-03-23,1.0
2018-03-26,1.0
2018-03-27,1.0
2018-03-28,1.0
2018-03-29,1.0
2018-03-30,1.0
2018-04-02,1.0
2018-04-03,1.0
2018-04-04,1.0
2018-04-05,1.0
2018-04-06,1.0
2018-04-09,1.0
2018-04-10,1.0
2018-04-11,1.0
2018-04-12,1.0
2018-04-13,1.0
2018-04-16,1.0
2018-04-17,1.0
2018-04-18,1.0
2018-04-19,1.0
2018-04-20,1.0
2018-04-23,1.0
2018-04-24,1.0
2018-04-26,1.0
2018-04-27,1.0
2018-05-02,1.0
2018-05-03,1.0
2018-05-04,1.0
2018-05-07,1.0
2018-05-08,1.0
2018-05-09,0.528171535560076
2018-05-10,0.7156826793501555
2018-05-11,0.6180071736842243
2018-05-14,1.0
2018-05-15,1.0
2018-05-16,1.0
2018-05-17,1.0
2018-05-18,1.0
2018-05-21,1.0
2018-05-22,1.0
2018-05-23,1.0
2018-05-24,1.0
2018-05-25,1.0
2018-05-28,0.658431777886079
2018-05-29,1.0
2018-05-30,1.0
2018-05-31,1.0
2018-06-01,1.0
2018-06-04,1.0
2018-06-05,1.0
2018-06-06,1.0
2018-06-07,0.5518267230624785
2018-06-08,0.5872849264811174
2018-06-11,0.6640070434725195
2018-06-12,0.36566603263656716
2018-06-13,0.513290706235505
2018-06-14,1.0
2018-06-15,1.0
2018-06-18,0.7844223152507126
2018-06-19,0.55746565143528
2018-06-20,0.6934573320055482
2018-06-21,1.0
2018-06-22,1.0
2018-06-25,1.0
2018-06-26,0.2684494202192662
2018-06-27,1.0
2018-06-28,1.0
2018-06-29,0.315055765936774
2018-07-02,1.0
2018-07-03,0.0
2018-07-04,0.275316541081163
2018-07-05,1.0
2018-07-06,0.6941358400848391
2018-07-09,1.0
2018-07-10,1.0
2018-07-11,1.0
2018-07-12,0.0
2018-07-13,0.788348234877663
2018-07-16,1.0
2018-07-17,0.7669033885033126
2018-07-18,1.0
2018-07-19,1.0
2018-07-20,0.6873360336840759
2018-07-23,1.0
2018-07-24,1.0
2018-07-25,1.0
2018-07-26,1.0
2018-07-27,0.7915300769667923
2018-07-30,1.0
2018-07-31,0.7796763163337085
2018-08-01,0.7493649588586078
2018-08-02,0.6508288955805499
2018-08-03,0.6830716407043448
2018-08-06,1.0
2018-08-07,0.5590167788709658
2018-08-08,0.6032384494907714
2018-08-09,1.0
2018-08-10,1.0
2018-08-13,1.0
2018-08-14,1.0
2018-08-15,1.0
2018-08-16,0.7529977226382567
2018-08-17,0.7618728985586971
2018-08-20,0.7047359754448116
2018-08-21,0.7933540499508034
2018-08-22,0.7781855978303871
2018-08-23,1.0
2018-08-24,1.0
2018-08-27,1.0
2018-08-28,1.0
2018-08-29,1.0
2018-08-30,1.0
2018-08-31,1.0
2018-09-04,1.0
2018-09-05,1.0
2018-09-06,1.0
2018-09-07,1.0
2018-09-10,1.0
2018-09-11,0.788943736162381
2018-09-12,1.0
2018-09-13,1.0
2018-09-14,1.0
2018-09-17,1.0
2018-09-18,1.0
2018-09-19,1.0
2018-09-20,1.0
2018-09-21,1.0
2018-09-24,1.0
2018-09-25,1.0
2018-09-26,1.0
2018-09-27,1.0
2018-09-28,1.0
2018-10-01,1.0
2018-10-02,1.0
2018-10-03,1.0
2018-10-04,1.0
2018-10-05,0.7013549317648871
2018-10-08,1.0
2018-10-09,0.2233197348260607
2018-10-10,1.0
2018-10-11,0.6776256973392727
2018-10-12,0.34136472599171497
2018-10-15,1.0
2018-10-16,0.7556552163819513
2018-10-17,1.0
2018-10-18,0.537503359170201
2018-10-19,1.0
2018-10-22,0.6332357974521157
2018-10-23,1.0
2018-10-24,0.7494298787552801
2018-10-25,0.4673601077301206
2018-10-26,1.0
2018-10-29,0.5637000824149865
2018-10-30,0.7568273854011703
2018-10-31,1.0
2018-11-01,0.5892033075693737
2018-11-02,1.0
2018-11-05,1.0
2018-11-06,1.0
2018-11-07,0.5008387199152935
2018-11-08,1.0
2018-11-09,1.0
2018-11-12,0.3639017644766893
2018-11-13,0.6419260838890593
2018-11-14,0.6514829674074802
2018-11-15,0.6713582543071173
2018-11-16,0.43141114966726024
2018-11-19,1.0
2018-11-20,1.0
2018-11-21,0.4259361643679518
2018-11-22,0.5037529033267931
2018-11-23,0.4999988044267347
2018-11-26,0.4841245381144942
2018-11-27,1.0
2018-11-28,0.6190114103053506
2018-11-29,1.0
2018-11-30,0.7379217357410123
2018-12-03,0.6134874412280473
2018-12-04,0.5536191636389852
2018-12-05,1.0
2018-12-06,1.0
2018-12-07,0.4056301248616161
2018-12-10,1.0
2018-12-11,0.0
2018-12-12,1.0
2018-12-13,0.7924664684176514
2018-12-14,0.6303894080550341
2018-12-17,0.48635257066846105
2018-12-18,1.0
2018-12-19,0.7521709744917537
